,0,1,2,3,4
0,Entity Name,Precision,Recall,F1-score,Wf1-score
1,Accents,0.47,0.40,0.43,0.01
2,Brand,0.56,0.65,0.60,0.05
3,Character,0.50,0.67,0.57,0.00
4,Character Family,0.00,0.00,0.00,0.00
5,Closure,0.48,0.71,0.57,0.01
6,Color,0.53,0.65,0.58,0.04
7,Country/Region of Manufacture,0.33,0.33,0.33,0.00
8,Department,0.38,0.58,0.46,0.00
9,Fabric Type,0.52,0.81,0.63,0.01
10,Features,0.53,0.47,0.50,0.01
11,Handle Drop,0.00,0.00,0.00,0.00
12,Handle Style,0.43,0.53,0.48,0.00
13,Handle/Strap Material,0.25,0.29,0.27,0.00
14,Hardware Material,0.60,0.30,0.40,0.00
15,Lining Material,0.00,0.00,0.00,0.00
16,MPN,0.47,0.44,0.45,0.02
17,Material,0.42,0.50,0.45,0.02
18,"Measurement, dimension",0.10,0.10,0.10,0.00
19,Model,0.47,0.42,0.45,0.05
20,No Tag,0.55,0.76,0.64,0.17
21,Obscure,0.44,0.08,0.14,0.01
22,Occasion,0.53,0.67,0.59,0.01
23,Pattern,0.44,0.43,0.44,0.02
24,Pocket Type,1.00,0.14,0.25,0.00
25,Product Line,0.31,0.46,0.37,0.01
26,Season,0.50,1.00,0.67,0.00
27,Size,0.42,0.77,0.55,0.01
28,Strap Drop,0.00,0.00,0.00,0.00
29,Style,0.58,0.38,0.46,0.01
30,Theme,0.63,0.43,0.51,0.01
31,Trim Material,0.00,0.00,0.00,0.00
32,Type,0.42,0.73,0.53,0.04

 Final f1 score is: 0.5137307531651107
 Final precision is: 0.4929630688596777
 Final recall is: 0.5710412147505421
